Recording,Participant,Timeline,TOI,Interval,Media,AOI,AOI_size,Duration_of_interval,Start_of_interval,Total_duration_of_fixations,Average_duration_of_fixations,Number_of_fixations,Time_to_first_fixation,Total_duration_of_Glances,Number_of_Glances
UXRecording3,UXP01,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,3,Checkout mockup,footer_links,36516,12257,30000,318,159,2,9949,364,1
UXRecording1,UXP02,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,1,Checkout mockup,hero_banner,122857,12211,0,2472,170,11,356,973,3
UXRecording1,UXP02,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,1,Checkout mockup,product_image,94019,12412,0,1776,184,6,648,1246,3
UXRecording1,UXP02,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,1,Checkout mockup,checkout_target,14575,11208,0,1296,648,2,8817,283,1
UXRecording1,UXP02,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,1,Checkout mockup,add_to_cart_target,16322,11152,0,1197,399,3,6874,333,1
UXRecording1,UXP02,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,1,Checkout mockup,promo_popup,47768,12339,0,1771,161,11,414,948,4
UXRecording1,UXP02,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,1,Checkout mockup,price_label,8613,12908,0,854,427,2,2147,191,1
UXRecording1,UXP02,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,1,Checkout mockup,navigation_menu,31164,12295,0,1025,205,5,778,612,2
UXRecording1,UXP02,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,1,Checkout mockup,search_bar_target,18449,11963,0,1002,305,1,3599,212,0
UXRecording1,UXP02,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,1,Checkout mockup,recommended_items,70124,12008,0,1728,192,9,1853,1307,3
UXRecording1,UXP02,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,1,Checkout mockup,reviews_section,60439,12182,0,764,382,2,7235,602,1
UXRecording1,UXP02,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,1,Checkout mockup,shipping_info_target,13635,12287,0,795,436,1,5953,188,0
UXRecording1,UXP02,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,1,Checkout mockup,footer_links,41039,12012,0,232,116,2,6906,591,2
UXRecording2,UXP02,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,2,Checkout mockup,hero_banner,118606,12523,15000,2860,173,8,300,1322,4
UXRecording2,UXP02,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,2,Checkout mockup,product_image,93416,11972,15000,2086,173,8,689,1372,2
UXRecording2,UXP02,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,2,Checkout mockup,checkout_target,15158,12630,15000,934,470,1,6925,305,0
UXRecording2,UXP02,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,2,Checkout mockup,add_to_cart_target,15646,11915,15000,1083,479,2,6898,338,1
UXRecording2,UXP02,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,2,Checkout mockup,promo_popup,43397,11946,15000,1460,219,6,482,1416,3
UXRecording2,UXP02,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,2,Checkout mockup,price_label,9174,12715,15000,996,498,2,2319,250,1
UXRecording2,UXP02,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,2,Checkout mockup,navigation_menu,34137,12621,15000,955,191,5,839,941,3
UXRecording2,UXP02,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,2,Checkout mockup,search_bar_target,18394,11761,15000,1554,518,3,3566,305,1
UXRecording2,UXP02,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,2,Checkout mockup,recommended_items,73660,12460,15000,1859,136,8,1852,1103,2
UXRecording2,UXP02,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,2,Checkout mockup,reviews_section,52847,11959,15000,687,276,2,5731,517,2
UXRecording2,UXP02,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,2,Checkout mockup,shipping_info_target,12818,11646,15000,0,0,0,11646,198,0
UXRecording2,UXP02,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,2,Checkout mockup,footer_links,41562,12448,15000,197,167,1,12263,504,2
UXRecording3,UXP02,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,3,Checkout mockup,hero_banner,124549,12234,30000,2640,220,12,392,1064,4
UXRecording3,UXP02,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,3,Checkout mockup,product_image,104669,11834,30000,2525,211,9,895,852,3
UXRecording3,UXP02,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,3,Checkout mockup,checkout_target,13328,12199,30000,776,450,1,7886,158,0
UXRecording3,UXP02,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,3,Checkout mockup,add_to_cart_target,17163,12860,30000,1327,510,2,5061,385,1
UXRecording3,UXP02,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,3,Checkout mockup,promo_popup,48102,12219,30000,1422,197,6,404,1053,5
UXRecording3,UXP02,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,3,Checkout mockup,price_label,9355,12408,30000,817,436,1,2579,346,1
UXRecording3,UXP02,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,3,Checkout mockup,navigation_menu,32541,12573,30000,1041,147,6,1413,1104,2
UXRecording3,UXP02,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,3,Checkout mockup,search_bar_target,20456,11608,30000,772,386,2,3128,189,0
UXRecording3,UXP02,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,3,Checkout mockup,recommended_items,80652,11323,30000,1390,140,7,1949,1235,3
UXRecording3,UXP02,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,3,Checkout mockup,reviews_section,59135,12091,30000,663,315,2,7865,447,2
UXRecording3,UXP02,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,3,Checkout mockup,shipping_info_target,12902,11302,30000,799,354,2,10134,272,0
UXRecording3,UXP02,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,3,Checkout mockup,footer_links,40855,11867,30000,274,137,2,9445,411,2
UXRecording1,UXP03,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,1,Checkout mockup,hero_banner,120176,11412,0,3066,219,14,522,1438,4
UXRecording1,UXP03,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,1,Checkout mockup,product_image,92053,12542,0,1885,270,6,746,733,4
UXRecording1,UXP03,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,1,Checkout mockup,checkout_target,13195,12820,0,1212,606,2,9028,239,1
UXRecording1,UXP03,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,1,Checkout mockup,add_to_cart_target,17923,11301,0,1149,383,3,5421,317,1
UXRecording1,UXP03,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,1,Checkout mockup,promo_popup,47406,11070,0,1914,189,9,506,1629,4
UXRecording1,UXP03,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,1,Checkout mockup,price_label,8796,11376,0,610,416,1,3692,314,1
UXRecording1,UXP03,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,1,Checkout mockup,navigation_menu,31216,12429,0,1151,146,4,1013,875,2
UXRecording1,UXP03,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,1,Checkout mockup,search_bar_target,20126,11781,0,1026,339,2,4680,248,1
UXRecording1,UXP03,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,1,Checkout mockup,recommended_items,73171,11385,0,1458,140,6,1785,743,4
UXRecording1,UXP03,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,1,Checkout mockup,reviews_section,52089,12346,0,702,234,3,4430,561,1
UXRecording1,UXP03,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,1,Checkout mockup,shipping_info_target,13438,12035,0,0,0,0,12035,145,1
UXRecording1,UXP03,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,1,Checkout mockup,footer_links,40733,12739,0,221,176,1,11439,347,2
UXRecording2,UXP03,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,2,Checkout mockup,hero_banner,118888,12095,15000,2602,148,8,352,1314,2
UXRecording2,UXP03,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,2,Checkout mockup,product_image,92153,11574,15000,1678,168,6,519,1153,2
UXRecording2,UXP03,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,2,Checkout mockup,checkout_target,13852,12630,15000,906,453,2,4921,201,0
UXRecording2,UXP03,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,2,Checkout mockup,add_to_cart_target,16496,11715,15000,1184,371,2,6971,321,1
UXRecording2,UXP03,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,2,Checkout mockup,promo_popup,44157,11673,15000,1356,181,6,396,1537,4
UXRecording2,UXP03,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,2,Checkout mockup,price_label,9859,11224,15000,0,0,0,11224,301,1
UXRecording2,UXP03,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,2,Checkout mockup,navigation_menu,30410,11047,15000,1064,152,7,1329,753,4
UXRecording2,UXP03,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,2,Checkout mockup,search_bar_target,18678,11268,15000,1036,387,2,2749,254,1
UXRecording2,UXP03,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,2,Checkout mockup,recommended_items,70402,11461,15000,1622,171,8,1711,926,2
UXRecording2,UXP03,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,2,Checkout mockup,reviews_section,58415,12295,15000,1044,348,3,7147,490,2
UXRecording2,UXP03,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,2,Checkout mockup,shipping_info_target,12245,11112,15000,938,469,2,10411,152,1
UXRecording2,UXP03,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,2,Checkout mockup,footer_links,40029,11848,15000,212,166,1,9352,577,1
UXRecording3,UXP03,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,3,Checkout mockup,hero_banner,126517,11132,30000,2641,183,14,403,1636,2
UXRecording3,UXP03,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,3,Checkout mockup,product_image,105080,11408,30000,2397,287,7,655,1318,4
UXRecording3,UXP03,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,3,Checkout mockup,checkout_target,14561,11258,30000,1055,522,2,6554,282,0
UXRecording3,UXP03,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,3,Checkout mockup,add_to_cart_target,16321,12136,30000,954,477,2,7056,259,1
UXRecording3,UXP03,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,3,Checkout mockup,promo_popup,45989,12173,30000,1764,196,9,425,1362,5
UXRecording3,UXP03,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,3,Checkout mockup,price_label,9171,11840,30000,696,348,2,2018,282,1
UXRecording3,UXP03,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,3,Checkout mockup,navigation_menu,32255,11158,30000,1106,158,7,1190,817,3
UXRecording3,UXP03,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,3,Checkout mockup,search_bar_target,20417,12599,30000,969,392,1,4026,176,1
UXRecording3,UXP03,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,3,Checkout mockup,recommended_items,81641,12067,30000,1606,146,11,1279,1279,2
UXRecording3,UXP03,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,3,Checkout mockup,reviews_section,52064,11928,30000,586,250,2,5347,501,2
UXRecording3,UXP03,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,3,Checkout mockup,shipping_info_target,12242,11107,30000,666,333,2,6955,161,1
UXRecording3,UXP03,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,3,Checkout mockup,footer_links,39742,11508,30000,348,174,2,11508,686,2
UXRecording1,UXP04,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,1,Checkout mockup,hero_banner,121473,12309,0,1976,184,8,293,1195,2
UXRecording1,UXP04,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,1,Checkout mockup,product_image,95052,12186,0,2163,267,6,671,1422,3
UXRecording1,UXP04,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,1,Checkout mockup,checkout_target,13942,11932,0,1029,498,2,9267,212,1
UXRecording1,UXP04,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,1,Checkout mockup,add_to_cart_target,17591,12461,0,1117,377,2,5969,417,1
UXRecording1,UXP04,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,1,Checkout mockup,promo_popup,46213,11673,0,2380,238,10,347,1565,4
UXRecording1,UXP04,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,1,Checkout mockup,price_label,9305,12230,0,806,403,2,2219,288,1
UXRecording1,UXP04,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,1,Checkout mockup,navigation_menu,31126,12728,0,1302,217,6,892,951,2
UXRecording1,UXP04,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,1,Checkout mockup,search_bar_target,19510,11227,0,1126,311,2,4610,237,0
UXRecording1,UXP04,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,1,Checkout mockup,recommended_items,70375,12179,0,1713,176,9,1629,819,2
UXRecording1,UXP04,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,1,Checkout mockup,reviews_section,54579,12012,0,708,236,3,4682,459,2
UXRecording1,UXP04,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,1,Checkout mockup,shipping_info_target,13209,11374,0,716,350,2,7598,274,1
UXRecording1,UXP04,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,1,Checkout mockup,footer_links,38555,11292,0,376,188,2,8080,468,2
UXRecording2,UXP04,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,2,Checkout mockup,hero_banner,127937,11221,15000,2649,187,9,335,1420,4
UXRecording2,UXP04,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,2,Checkout mockup,product_image,95940,12145,15000,2554,287,7,601,1392,3
UXRecording2,UXP04,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,2,Checkout mockup,checkout_target,13268,11450,15000,860,495,1,6286,277,1
UXRecording2,UXP04,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,2,Checkout mockup,add_to_cart_target,16175,11418,15000,1057,429,2,6904,345,1
UXRecording2,UXP04,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,2,Checkout mockup,promo_popup,45298,12048,15000,2145,169,11,572,900,5
UXRecording2,UXP04,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,2,Checkout mockup,price_label,9657,12775,15000,877,283,2,2515,276,1
UXRecording2,UXP04,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,2,Checkout mockup,navigation_menu,32123,12376,15000,1212,202,6,1267,667,2
UXRecording2,UXP04,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,2,Checkout mockup,search_bar_target,20379,11144,15000,1065,410,2,4233,346,0
UXRecording2,UXP04,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,2,Checkout mockup,recommended_items,78052,11215,15000,1886,188,10,1714,1264,4
UXRecording2,UXP04,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,2,Checkout mockup,reviews_section,59737,11657,15000,745,223,2,5670,431,1
UXRecording2,UXP04,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,2,Checkout mockup,shipping_info_target,12178,12549,15000,0,0,0,12549,207,0
UXRecording2,UXP04,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,2,Checkout mockup,footer_links,39770,12162,15000,368,184,2,7689,447,1
UXRecording3,UXP04,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,3,Checkout mockup,hero_banner,125757,12145,30000,2868,239,12,302,1156,3
UXRecording3,UXP04,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,3,Checkout mockup,product_image,104346,12844,30000,1981,214,8,852,1029,3
UXRecording3,UXP04,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,3,Checkout mockup,checkout_target,13382,12876,30000,1030,515,2,7570,227,0
UXRecording3,UXP04,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,3,Checkout mockup,add_to_cart_target,16733,12691,30000,1112,556,2,4584,404,1
UXRecording3,UXP04,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,3,Checkout mockup,promo_popup,42360,12269,30000,1890,159,7,583,1649,3
UXRecording3,UXP04,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,3,Checkout mockup,price_label,9120,12050,30000,649,300,2,2397,225,1
UXRecording3,UXP04,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,3,Checkout mockup,navigation_menu,30699,12763,30000,1090,218,5,806,1098,2
UXRecording3,UXP04,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,3,Checkout mockup,search_bar_target,18360,11519,30000,862,431,2,3081,285,1
UXRecording3,UXP04,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,3,Checkout mockup,recommended_items,80481,12877,30000,1610,176,9,1684,1022,3
UXRecording3,UXP04,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,3,Checkout mockup,reviews_section,52921,12494,30000,802,337,2,4606,378,1
UXRecording3,UXP04,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,3,Checkout mockup,shipping_info_target,11790,11317,30000,1024,512,2,9851,233,0
UXRecording3,UXP04,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,3,Checkout mockup,footer_links,36176,12057,30000,232,154,1,7313,673,2
UXRecording1,UXP05,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,1,Checkout mockup,hero_banner,130127,11569,0,2139,154,9,480,905,2
UXRecording1,UXP05,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,1,Checkout mockup,product_image,97941,11482,0,2156,196,11,477,1237,2
UXRecording1,UXP05,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,1,Checkout mockup,checkout_target,15075,11642,0,1204,602,2,5857,277,1
UXRecording1,UXP05,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,1,Checkout mockup,add_to_cart_target,16640,12345,0,0,0,0,12345,309,1
UXRecording1,UXP05,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,1,Checkout mockup,promo_popup,43452,12804,0,1805,200,9,548,1486,3
UXRecording1,UXP05,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,1,Checkout mockup,price_label,8971,11112,0,988,494,2,2531,332,0
UXRecording1,UXP05,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,1,Checkout mockup,navigation_menu,35476,11639,0,967,221,4,899,601,2
UXRecording1,UXP05,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,1,Checkout mockup,search_bar_target,18281,12319,0,778,389,2,2967,263,1
UXRecording1,UXP05,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,1,Checkout mockup,recommended_items,70815,12264,0,1400,140,10,2012,812,4
UXRecording1,UXP05,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,1,Checkout mockup,reviews_section,52233,12798,0,558,270,2,5254,579,1
UXRecording1,UXP05,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,1,Checkout mockup,shipping_info_target,12652,12598,0,956,478,2,10100,259,1
UXRecording1,UXP05,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,1,Checkout mockup,footer_links,40304,11746,0,209,120,1,11183,483,1
UXRecording2,UXP05,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,2,Checkout mockup,hero_banner,125946,12141,15000,2673,243,11,454,974,3
UXRecording2,UXP05,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,2,Checkout mockup,product_image,99521,12944,15000,2024,253,8,583,1046,2
UXRecording2,UXP05,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,2,Checkout mockup,checkout_target,13172,12192,15000,0,0,0,12192,204,0
UXRecording2,UXP05,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,2,Checkout mockup,add_to_cart_target,15829,11155,15000,1476,492,3,5541,333,1
UXRecording2,UXP05,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,2,Checkout mockup,promo_popup,45469,12478,15000,2047,172,8,351,1196,5
UXRecording2,UXP05,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,2,Checkout mockup,price_label,9077,12374,15000,832,416,2,2389,251,1
UXRecording2,UXP05,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,2,Checkout mockup,navigation_menu,32353,12946,15000,955,187,5,1063,1082,2
UXRecording2,UXP05,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,2,Checkout mockup,search_bar_target,19007,12318,15000,798,399,2,3157,193,1
UXRecording2,UXP05,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,2,Checkout mockup,recommended_items,76294,11561,15000,2180,218,10,1105,916,3
UXRecording2,UXP05,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,2,Checkout mockup,reviews_section,54202,11825,15000,855,285,3,5969,571,1
UXRecording2,UXP05,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,2,Checkout mockup,shipping_info_target,13383,12779,15000,0,0,0,12779,232,1
UXRecording2,UXP05,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,2,Checkout mockup,footer_links,41978,12444,15000,312,156,2,7561,364,1
UXRecording3,UXP05,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,3,Checkout mockup,hero_banner,131054,12666,30000,2795,181,11,537,1686,3
UXRecording3,UXP05,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,3,Checkout mockup,product_image,102181,12672,30000,1650,258,6,761,1392,3
UXRecording3,UXP05,EcommerceCheckoutTimeline,Ecommerce_Checkout_Page,3,Checkout mockup,checkout_target,15034,11670,30000,916,681,1,5079,204,0
